fixture_id,gameweek,home_team,away_team
307,,Man City,Crystal Palace
1,1.0,Liverpool,Bournemouth
2,1.0,Aston Villa,Newcastle
3,1.0,Brighton,Fulham
6,1.0,Spurs,Burnley
5,1.0,Sunderland,West Ham
7,1.0,Wolves,Man City
8,1.0,Chelsea,Crystal Palace
4,1.0,Nott'm Forest,Brentford
9,1.0,Man Utd,Arsenal
10,1.0,Leeds,Everton
20,2.0,West Ham,Chelsea
18,2.0,Man City,Spurs
12,2.0,Bournemouth,Wolves
13,2.0,Brentford,Aston Villa
14,2.0,Burnley,Sunderland
11,2.0,Arsenal,Leeds
15,2.0,Crystal Palace,Nott'm Forest
16,2.0,Everton,Brighton
17,2.0,Fulham,Man Utd
19,2.0,Newcastle,Liverpool
23,3.0,Chelsea,Fulham
26,3.0,Man Utd,Burnley
29,3.0,Spurs,Bournemouth
28,3.0,Sunderland,Brentford
30,3.0,Wolves,Everton
24,3.0,Leeds,Newcastle
22,3.0,Brighton,Man City
27,3.0,Nott'm Forest,West Ham
25,3.0,Liverpool,Arsenal
21,3.0,Aston Villa,Crystal Palace
31,4.0,Arsenal,Nott'm Forest
32,4.0,Bournemouth,Brighton
35,4.0,Crystal Palace,Sunderland
36,4.0,Everton,Aston Villa
37,4.0,Fulham,Leeds
39,4.0,Newcastle,Wolves
40,4.0,West Ham,Spurs
33,4.0,Brentford,Chelsea
34,4.0,Burnley,Liverpool
38,4.0,Man City,Man Utd
46,5.0,Liverpool,Everton
43,5.0,Brighton,Spurs
44,5.0,Burnley,Nott'm Forest
49,5.0,West Ham,Crystal Palace
50,5.0,Wolves,Leeds
47,5.0,Man Utd,Chelsea
45,5.0,Fulham,Brentford
42,5.0,Bournemouth,Newcastle
48,5.0,Sunderland,Aston Villa
41,5.0,Arsenal,Man City
52,6.0,Brentford,Man Utd
53,6.0,Chelsea,Brighton
54,6.0,Crystal Palace,Liverpool
56,6.0,Leeds,Bournemouth
57,6.0,Man City,Burnley
59,6.0,Nott'm Forest,Sunderland
60,6.0,Spurs,Wolves
51,6.0,Aston Villa,Fulham
58,6.0,Newcastle,Arsenal
55,6.0,Everton,West Ham
63,7.0,Bournemouth,Fulham
67,7.0,Leeds,Spurs
61,7.0,Arsenal,West Ham
68,7.0,Man Utd,Sunderland
65,7.0,Chelsea,Liverpool
62,7.0,Aston Villa,Burnley
66,7.0,Everton,Crystal Palace
69,7.0,Newcastle,Nott'm Forest
70,7.0,Wolves,Brighton
64,7.0,Brentford,Man City
77,8.0,Nott'm Forest,Chelsea
71,8.0,Brighton,Newcastle
72,8.0,Burnley,Leeds
73,8.0,Crystal Palace,Bournemouth
76,8.0,Man City,Everton
78,8.0,Sunderland,Wolves
74,8.0,Fulham,Arsenal
79,8.0,Spurs,Aston Villa
75,8.0,Liverpool,Man Utd
80,8.0,West Ham,Brentford
87,9.0,Leeds,West Ham
85,9.0,Chelsea,Sunderland
89,9.0,Newcastle,Fulham
88,9.0,Man Utd,Brighton
84,9.0,Brentford,Liverpool
81,9.0,Arsenal,Crystal Palace
82,9.0,Aston Villa,Man City
83,9.0,Bournemouth,Nott'm Forest
90,9.0,Wolves,Burnley
86,9.0,Everton,Spurs
91,10.0,Brighton,Leeds
92,10.0,Burnley,Arsenal
93,10.0,Crystal Palace,Brentford
94,10.0,Fulham,Wolves
97,10.0,Nott'm Forest,Man Utd
99,10.0,Spurs,Chelsea
95,10.0,Liverpool,Aston Villa
100,10.0,West Ham,Newcastle
96,10.0,Man City,Bournemouth
98,10.0,Sunderland,Everton
109,11.0,Spurs,Man Utd
105,11.0,Everton,Fulham
110,11.0,West Ham,Burnley
108,11.0,Sunderland,Arsenal
103,11.0,Chelsea,Wolves
101,11.0,Aston Villa,Bournemouth
102,11.0,Brentford,Newcastle
104,11.0,Crystal Palace,Brighton
107,11.0,Nott'm Forest,Leeds
106,11.0,Man City,Liverpool
114,12.0,Burnley,Chelsea
112,12.0,Bournemouth,West Ham
113,12.0,Brighton,Brentford
115,12.0,Fulham,Sunderland
117,12.0,Liverpool,Nott'm Forest
120,12.0,Wolves,Crystal Palace
119,12.0,Newcastle,Man City
116,12.0,Leeds,Aston Villa
111,12.0,Arsenal,Spurs
118,12.0,Man Utd,Everton
122,13.0,Brentford,Burnley
126,13.0,Man City,Leeds
128,13.0,Sunderland,Bournemouth
125,13.0,Everton,Newcastle
129,13.0,Spurs,Fulham
124,13.0,Crystal Palace,Man Utd
121,13.0,Aston Villa,Wolves
127,13.0,Nott'm Forest,Brighton
130,13.0,West Ham,Liverpool
123,13.0,Chelsea,Arsenal
132,14.0,Bournemouth,Everton
135,14.0,Fulham,Man City
139,14.0,Newcastle,Spurs
131,14.0,Arsenal,Brentford
133,14.0,Brighton,Aston Villa
134,14.0,Burnley,Crystal Palace
140,14.0,Wolves,Nott'm Forest
136,14.0,Leeds,Chelsea
137,14.0,Liverpool,Sunderland
