player_id,player_name,team,element_type,price,id_team,team_name,team_short,id_position,position,opponent,is_home
1,Raya,1,1,6.0,1,Arsenal,ARS,1,GKP,Bournemouth,1
2,Arrizabalaga,1,1,4.0,1,Arsenal,ARS,1,GKP,Bournemouth,1
3,Hein,1,1,4.0,1,Arsenal,ARS,1,GKP,Bournemouth,1
4,Setford,1,1,3.9,1,Arsenal,ARS,1,GKP,Bournemouth,1
5,Gabriel,1,2,7.2,1,Arsenal,ARS,2,DEF,Bournemouth,1
6,Saliba,1,2,6.1,1,Arsenal,ARS,2,DEF,Bournemouth,1
7,Calafiori,1,2,5.6,1,Arsenal,ARS,2,DEF,Bournemouth,1
8,J.Timber,1,2,6.3,1,Arsenal,ARS,2,DEF,Bournemouth,1
9,Kiwior,1,2,5.4,1,Arsenal,ARS,2,DEF,Bournemouth,1
10,Lewis-Skelly,1,2,5.1,1,Arsenal,ARS,2,DEF,Bournemouth,1
11,White,1,2,5.1,1,Arsenal,ARS,2,DEF,Bournemouth,1
13,Clarke,1,2,3.8,1,Arsenal,ARS,2,DEF,Bournemouth,1
14,Kacurri,1,2,3.9,1,Arsenal,ARS,2,DEF,Bournemouth,1
15,Nichols,1,2,3.7,1,Arsenal,ARS,2,DEF,Bournemouth,1
16,Saka,1,3,9.8,1,Arsenal,ARS,3,MID,Bournemouth,1
17,Ødegaard,1,3,7.8,1,Arsenal,ARS,3,MID,Bournemouth,1
18,Madueke,1,3,6.8,1,Arsenal,ARS,3,MID,Bournemouth,1
19,Martinelli,1,3,6.8,1,Arsenal,ARS,3,MID,Bournemouth,1
20,Trossard,1,3,6.6,1,Arsenal,ARS,3,MID,Bournemouth,1
21,Rice,1,3,7.3,1,Arsenal,ARS,3,MID,Bournemouth,1
22,Merino,1,3,5.4,1,Arsenal,ARS,3,MID,Bournemouth,1
23,Fábio Vieira,1,3,5.4,1,Arsenal,ARS,3,MID,Bournemouth,1
24,Nørgaard,1,3,5.1,1,Arsenal,ARS,3,MID,Bournemouth,1
25,Nwaneri,1,3,5.0,1,Arsenal,ARS,3,MID,Bournemouth,1
26,Zubimendi,1,3,5.1,1,Arsenal,ARS,3,MID,Bournemouth,1
28,Kabia,1,3,4.5,1,Arsenal,ARS,3,MID,Bournemouth,1
29,Sambi,1,3,4.5,1,Arsenal,ARS,3,MID,Bournemouth,1
30,Havertz,1,4,7.3,1,Arsenal,ARS,4,FWD,Bournemouth,1
31,G.Jesus,1,4,6.4,1,Arsenal,ARS,4,FWD,Bournemouth,1
266,Eze,1,3,7.2,1,Arsenal,ARS,3,MID,Bournemouth,1
662,Mosquera,1,2,5.3,1,Arsenal,ARS,2,DEF,Bournemouth,1
666,Gyökeres,1,4,8.8,1,Arsenal,ARS,4,FWD,Bournemouth,1
700,Dowman,1,3,4.2,1,Arsenal,ARS,3,MID,Bournemouth,1
711,Harriman-Annous,1,3,4.4,1,Arsenal,ARS,3,MID,Bournemouth,1
725,Hincapie,1,2,5.1,1,Arsenal,ARS,2,DEF,Bournemouth,1
759,Salmon,1,2,4.0,1,Arsenal,ARS,2,DEF,Bournemouth,1
32,Martinez,2,1,5.1,2,Aston Villa,AVL,1,GKP,Nott'm Forest,0
33,M.Bizot,2,1,4.2,2,Aston Villa,AVL,1,GKP,Nott'm Forest,0
34,Gauci,2,1,4.0,2,Aston Villa,AVL,1,GKP,Nott'm Forest,0
35,Marschall,2,1,4.0,2,Aston Villa,AVL,1,GKP,Nott'm Forest,0
36,Cash,2,2,4.7,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
37,Digne,2,2,4.5,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
38,Konsa,2,2,4.4,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
39,Maatsen,2,2,4.2,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
40,Mings,2,2,4.3,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
41,Pau,2,2,4.3,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
42,A.García,2,2,3.9,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
43,Alex Moreno,2,2,4.0,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
44,Bogarde,2,2,4.0,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
45,Sousa,2,2,3.8,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
46,Yasin,2,2,4.0,2,Aston Villa,AVL,2,DEF,Nott'm Forest,0
47,Rogers,2,3,7.5,2,Aston Villa,AVL,3,MID,Nott'm Forest,0
48,Tielemans,2,3,5.9,2,Aston Villa,AVL,3,MID,Nott'm Forest,0
49,Bailey,2,3,5.5,2,Aston Villa,AVL,3,MID,Nott'm Forest,0
50,Buendía,2,3,5.3,2,Aston Villa,AVL,3,MID,Nott'm Forest,0
51,Iling Jr,2,3,5.5,2,Aston Villa,AVL,3,MID,Nott'm Forest,0
53,Malen,2,3,5.1,2,Aston Villa,AVL,3,MID,Nott'm Forest,0
